BuqueId,Nombre,IMO,MMSI,DistintivoLLamada,NacionalidadId,TipoImpuestoId,Descuento,TipoBuqueId,ConsignatarioId,NavieraId,GT,Eslora,Manga,Guinda,Puntal,CaladoVerano,PropulsorProaNumero,PropulsorProaPotencia,PropulsorPopaNumero,PropulsorPopaPotencia,MotorPrincipalNumero,MotorPrincipalPotencia,HeliceProaNumero,HeliceProaTipoId,HeliceProaGiroId,EfectoHeliceId,TimonId,TipoMaquinaId,Construccion,Observaciones,ObservacionesSeguridad,FechaAlta,FechaActualizacion,Velocidad,RemolcadoresRecomendados,TarifaEspecifica,NumeroTimones,AnguloMaximoTimon,SuperficieVelica,PuertoMatriculaId,TipoPropulsionId
249,FORTUNY,9216585,NULL,EBTO,209,1,0.00,43,97,1115,26916,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2001,NULL,NULL,2016-12-26 12:14:23.587,NULL,NULL,0,0,NULL,0,0,NULL,NULL
250,AIDAPRIMA,9636955,NULL,IBGU,110,1,0.00,95,97,1116,125572,299.95,37.60,NULL,0.00,NULL,NULL,NULL,NULL,NULL,NULL,46800,NULL,NULL,NULL,NULL,NULL,NULL,01/01/2015,NULL,NULL,2016-12-26 12:14:33.000,2018-04-20 21:05:30.147,21.40,0,0,NULL,0,0,NULL,NULL
252,VERONA,9190858,NULL,LARI7,166,1,0.00,94,100,1118,37237,177.00,31.00,NULL,28.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,2016-12-26 12:17:30.443,2018-10-04 09:42:14.537,0.00,0,0,NULL,0,0,NULL,NULL
253,VOLCAN DEL TEIDE,9506289,NULL,EAIE,209,1,30.00,84,105,1115,29514,176.00,26.40,NULL,0.00,6.50,2,1200,NULL,NULL,4,33000,NULL,NULL,NULL,NULL,13,3,01/01/2010,NULL,NULL,2016-12-27 13:20:43.000,2019-09-27 16:54:04.710,0.00,0,0,NULL,0,0,NULL,NULL
254,CIUDAD DE CADIZ,9304631,NULL,5BLJ4,59,1,0.00,84,145,1115,26302,186.30,25.60,NULL,15.00,5.90,2,1300,NULL,NULL,2,3600,NULL,NULL,NULL,NULL,7,3,01/01/2004,NULL,NULL,2016-12-27 15:23:48.000,2019-06-07 13:32:24.117,22.00,0,0,NULL,0,0,NULL,NULL
255,MARAN ATLAS,9414022,NULL,SVAQ7,86,1,0.00,55,97,1122,56957,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009,NULL,NULL,2016-12-28 13:49:10.317,NULL,NULL,0,0,NULL,0,0,NULL,NULL
256,CASTILLO DE TRUJILLO,9293337,NULL,ECGD,209,1,0.00,88,100,1123,21589,182.00,25.00,NULL,18.00,NULL,NULL,NULL,NULL,NULL,NULL,13542,NULL,NULL,NULL,NULL,NULL,NULL,01/07/2004,NULL,NULL,2016-12-28 14:15:21.350,2017-11-28 04:58:36.817,0.00,0,0,NULL,0,0,NULL,NULL
257,QUEEN ELIZABETH,9477438,NULL,ZCEF2,25,1,0.00,95,106,1120,90901,294.00,32.00,NULL,0.00,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,01/01/2010,NULL,NULL,2016-12-28 14:17:40.750,2018-10-09 06:45:20.853,0.00,0,0,NULL,0,0,NULL,NULL
258,VOLCAN DE TAMADABA,9360506,NULL,EAOG,209,6,30.00,89,105,1115,19976,150.91,24.20,NULL,13.55,5.40,NULL,NULL,NULL,NULL,2,23400,NULL,NULL,NULL,NULL,7,3,20/02/2006,NULL,NULL,2016-12-28 14:18:12.000,2019-01-17 12:17:33.373,23.00,0,0,NULL,0,0,NULL,NULL
259,VOLCAN DE TAUCE,9081588,NULL,EAGW,209,1,30.00,84,105,1115,9807,120.00,19.50,NULL,12.00,NULL,NULL,NULL,NULL,NULL,NULL,9240,NULL,NULL,NULL,NULL,NULL,NULL,03/04/1995,NULL,NULL,2016-12-28 16:00:07.000,2019-09-27 16:53:03.867,15.00,0,0,NULL,0,0,NULL,NULL
