EstadoMovimientoId,TipoEstadoId,MovimientoId,FechaAlta,HoraAlta,EmpleadoId,ETD,ZonaFondeoId,LatGrados,LatMinutos,LatSegundos,LongGrados,LongMinutos,LongSegundos
3437,3,807,2017-03-14 00:00:00.000,2017-03-14 18:10:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3438,2,807,2017-03-14 00:00:00.000,2017-03-14 18:10:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3439,4,807,2017-03-14 00:00:00.000,2017-03-14 18:25:00.000,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3440,3,808,2017-03-14 00:00:00.000,2017-03-21 22:27:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3441,20,808,2017-03-14 00:00:00.000,2017-03-21 22:16:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3442,2,808,2017-03-14 00:00:00.000,2017-03-21 22:24:00.000,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3443,3,809,2017-03-14 00:00:00.000,2017-03-15 22:32:00.000,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3444,20,809,2017-03-14 00:00:00.000,2017-03-15 22:08:00.000,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3445,2,809,2017-03-14 00:00:00.000,2017-03-15 22:08:00.000,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3446,3,810,2017-03-14 00:00:00.000,2017-03-14 18:40:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3447,20,810,2017-03-14 00:00:00.000,2017-03-14 18:20:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3448,2,810,2017-03-14 00:00:00.000,2017-03-14 18:30:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3449,4,810,2017-03-14 00:00:00.000,2017-03-14 18:50:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3450,3,811,2017-03-14 00:00:00.000,2017-03-14 20:25:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3451,20,811,2017-03-14 00:00:00.000,2017-03-14 19:20:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3452,2,811,2017-03-14 00:00:00.000,2017-03-14 19:20:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3453,4,811,2017-03-14 00:00:00.000,2017-03-14 21:10:00.000,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
