,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,puerto
0,2016-11-30,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,9","0,0","17,8",04:50,"26,0",11:40,26,"1,7","8,6",21:50,01
1,2016-12-01,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,8","0,0","17,9",04:40,"25,6",14:40,15,"1,7","5,0",17:00,01
2,2016-12-02,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"22,4","0,0","18,8",00:40,"26,0",17:00,03,"1,7","6,9",11:00,01
3,2016-12-03,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"23,7","0,0","20,2",23:59,"27,2",14:50,05,"1,4","8,9",12:00,01
4,2016-12-04,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"20,2","2,4","18,1",08:40,"22,2",14:10,32,"4,4","13,6",16:00,01
5,2016-12-05,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"20,8","0,0","18,9",07:20,"22,7",12:20,32,"3,3","9,2",Varias,01
6,2016-12-06,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"22,0","0,0","18,2",22:00,"25,8",13:50,03,"2,2","7,5",21:20,01
7,2016-12-07,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,4","0,0","18,8",03:50,"24,1",11:50,07,"1,9","6,7",04:10,01
8,2016-12-08,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,3","0,0","18,5",05:00,"24,1",15:00,16,"6,1","13,1",12:30,01
9,2016-12-09,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,5","0,0","19,3",01:00,"23,7",11:10,14,"4,7","11,1",14:10,01
10,2016-12-10,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,8","0,0","18,2",22:40,"25,4",13:00,14,"3,1","9,4",10:30,01
11,2016-12-11,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,6","0,0","18,4",00:40,"24,7",09:50,32,"1,9","6,7",20:30,01
12,2016-12-12,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,6","0,4","17,3",06:00,"25,9",13:00,06,"1,7","6,9",21:40,01
13,2016-12-13,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"21,5","0,0","17,8",07:40,"25,2",13:30,12,"0,8","6,1",13:50,01
14,2016-12-14,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"20,0","1,2","17,0",08:00,"23,0",12:00,30,"3,3","8,1",14:30,01
15,2016-12-15,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"18,6","0,2","17,0",06:30,"20,3",12:30,99,"3,1","9,4",Varias,01
16,2016-12-16,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"18,4","1,9","16,7",22:30,"20,2",12:50,99,"5,8","13,9",Varias,01
17,2016-12-17,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"16,3","6,4","14,3",23:10,"18,3",12:50,01,"7,8","17,5",08:50,01
18,2016-12-18,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"17,0","2,2","14,6",,"19,5",14:10,31,"4,7","13,6",18:00,01
19,2016-12-19,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,"18,2","2,2","16,4",22:40,"20,0",13:20,30,"4,7","13,1",17:40,01
